id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	duration_h	in_range_h	in_range_percent	impermanent_loss	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp	pool_id	pool_symbol
550515	-82300	-81700	600	22128951276953740972479	6668759325566314729	23754.24	205.42	12.97	157.82	43	43	100	0.00	0.0003	0.0003	0.0000	0.0003	0x8eBd71AdEF20291B02E9748dC5fdfcb1e3137570	1	-887272	887272	0	0	6	5	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
324644	48800	49300	500	150959612940017171707	17642989665335433190072	14607.01	202.67	41.63	506.44	21	21	100	0.03	131.5986	138.3454	6.7469	134.9720	0x4c9F0dF5bFDc1Fa051E7F3D65f284D001C30Bbc8	1	-887272	887272	0	0	2	2	50	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
148714	49900	50700	800	53724377114782971123	10728058846589975486417	7600.98	196.51	77.56	943.64	21	21	100	0.00	146.8998	159.1340	12.2342	153.0169	0xb05558258d079E389aF967E66A26C186D2994662	1	-887272	887272	0	0	4	3	1000	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
676348	-81850	-80850	1000	13488572620545080826984	4419120699442570462	15116.85	188.92	3.41	41.47	246	207	84	0.03	0.0003	0.0003	0.0000	0.0003	0x06e08BF99939D5f7B1Bb740994C44714aAe1eD2A	0	0	0	0	0	10	9	0	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
410708	-81250	-80850	400	22990864259958397882270	7408483181893446716	25543.42	187.82	11.03	134.19	26	26	100	0.01	0.0003	0.0003	0.0000	0.0003	0x8eBd71AdEF20291B02E9748dC5fdfcb1e3137570	1	-887272	887272	0	0	4	3	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
212806	49600	49700	100	178563449037299572526	8911429729749707373033	10820.83	185.37	51.39	625.26	12	12	100	0.05	142.5584	143.9911	1.4327	143.2748	0xb1E4A2686A58fed058E0A4741A31aae56C20CD87	0	0	0	0	0	0	0	0	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
136932	50500	51000	500	76880062459412344635	14950525203438308013862	10660.30	184.06	51.80	630.20	15	15	100	0.01	155.9831	163.9801	7.9970	159.9816	0xe259efEc99384A4202602AA3512e80004D87679c	1	-887272	887272	0	0	2	2	100	0x66af3655e14a045f1742b3c9544553ef7915ed35	SHADOW/stS
444791	201000	201500	500	4914929509	2362839732763164324	9168.04	182.30	19.88	241.93	63	63	100	0.01	535651899.5896	563113952.0647	27462052.4751	549382925.8272	0xd1f7317CdEFe7F702033CA46dBAE418e95e2154b	1	-887272	887272	25	25	2	2	100	0x6fb30f3fcb864d49cdff15061ed5c6adfee40b40	USDC.e/WETH
450447	-82400	-81800	600	23689115233654440447974	6979516737604514530	25142.05	179.26	10.69	130.12	29	29	100	0.01	0.0003	0.0003	0.0000	0.0003	0x8eBd71AdEF20291B02E9748dC5fdfcb1e3137570	1	-887272	887272	0	0	6	5	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
318317	-82950	-82450	500	132877043832772540573249	48324405502180317652	157541.64	178.97	3.41	41.46	4	4	100	0.02	0.0002	0.0003	0.0000	0.0003	0x5C0d9743880D968C525Efa29723EaeB6Be55e47E	1	-887272	887272	0	0	5	4	100	0xb6d9b069f6b96a507243d501d1a23b3fccfc85d3	wS/WETH
